station_id,CallSign,longitude,latitude,time,AtmosphericPressure,WindDirection,WindSpeed,Gust,WaveHeight,WavePeriod,MeanWaveDirection,Hmax,AirTemperature,DewPoint,SeaTemperature,salinity,RelativeHumidity,SprTp,ThTp,Tp,QC_Flag
,,degrees_east,degrees_north,UTC,millibars,degrees true,knots,knots,meters,seconds,degrees_true,meters,degrees_C,degrees_C,degrees_C,dimensionless,percent,degrees,degrees_true,seconds,
M2,62091,-5.4302,53.4836,2021-09-10T10:00:00Z,1008.154,213.0,6.262,7.4,0.313,4.922,191.0,0.0,15.474,NaN,15.449,NaN,98.438,23.906,185.625,6.68,0
M3,62092,-10.548261,51.215956,2021-09-10T10:00:00Z,1013.647,300.0,17.305,19.923,1.953,5.625,322.0,3.047,16.074,NaN,17.054,35.09018,81.152,33.398,317.813,8.32,0
M4,62093,-9.999136,54.999967,2021-09-10T10:00:00Z,1009.509,358.0,13.434,19.126,1.797,5.391,356.0,2.813,15.293,NaN,15.967,NaN,92.285,41.133,337.5,6.914,0
M5,62094,-6.704336,51.690425,2021-09-10T10:00:00Z,1009.644,286.0,12.296,17.077,1.172,4.336,253.0,1.758,17.441,NaN,16.899,NaN,88.281,39.727,246.094,6.094,0
M6,62095,-15.88135,53.07482,2021-09-10T10:00:00Z,1015.186,31.0,3.415,5.351,2.109,6.445,27.0,3.281,14.854,NaN,16.423,35.35187,73.242,24.961,23.906,8.789,0
M2,62091,-5.4302,53.4836,2021-09-10T11:00:00Z,1008.264,217.0,6.831,7.827,0.313,4.336,176.0,0.0,15.645,NaN,15.586,NaN,98.438,50.625,161.719,5.508,0
M3,62092,-10.548261,51.215956,2021-09-10T11:00:00Z,1013.977,292.0,16.508,19.354,1.797,5.508,325.0,2.344,16.221,NaN,17.032,35.07431,83.398,21.445,337.5,8.32,0
M4,62093,-9.999136,54.999967,2021-09-10T11:00:00Z,1009.839,353.0,12.523,18.899,1.875,5.625,353.0,2.969,15.391,NaN,16.009,NaN,92.383,31.992,352.969,7.266,0
M5,62094,-6.704336,51.690425,2021-09-10T11:00:00Z,1010.364,277.0,12.409,16.963,1.172,4.453,248.0,1.641,17.441,NaN,17.003,NaN,87.207,49.57,244.688,5.625,0
M6,62095,-15.88135,53.07482,2021-09-10T11:00:00Z,1015.515,358.0,5.123,7.628,2.188,6.445,30.0,3.438,15.0,NaN,16.419,35.34554,68.75,23.203,33.75,9.258,0
M2,62091,-5.4302,53.4836,2021-09-10T12:00:00Z,1008.447,232.0,4.412,5.123,0.156,4.57,184.0,0.0,15.679,NaN,15.449,NaN,97.656,39.375,219.375,5.391,0
M3,62092,-10.548261,51.215956,2021-09-10T12:00:00Z,1014.294,321.0,13.434,18.102,1.797,5.508,325.0,2.695,15.586,NaN,17.054,35.07164,84.375,35.859,337.5,8.086,0
M4,62093,-9.999136,54.999967,2021-09-10T12:00:00Z,1010.01,354.0,13.776,20.493,1.953,5.625,354.0,3.125,15.342,NaN,16.033,NaN,91.895,37.969,354.375,7.383,0
M5,62094,-6.704336,51.690425,2021-09-10T12:00:00Z,1010.742,272.0,12.751,18.216,1.094,4.336,249.0,1.758,17.637,NaN,16.948,NaN,86.23,27.773,240.469,6.563,0
M6,62095,-15.88135,53.07482,2021-09-10T12:00:00Z,1015.649,346.0,6.148,8.425,2.109,6.68,30.0,2.969,14.951,NaN,16.423,35.34203,68.848,23.555,22.5,8.906,0
M2,62091,-5.4302,53.4836,2021-09-10T13:00:00Z,1008.521,209.0,6.119,7.4,0.313,5.039,172.0,0.0,15.713,NaN,15.483,NaN,97.656,36.563,137.813,9.961,0
M3,62092,-10.548261,51.215956,2021-09-10T13:00:00Z,1014.575,307.0,15.028,18.671,1.797,5.625,333.0,2.695,15.684,NaN,17.054,35.0663,81.836,29.18,331.875,8.672,0
M4,62093,-9.999136,54.999967,2021-09-10T13:00:00Z,1010.571,352.0,14.573,21.062,1.875,5.508,356.0,3.125,15.244,NaN,16.055,NaN,90.918,30.586,2.813,7.852,0
M5,62094,-6.704336,51.690425,2021-09-10T13:00:00Z,1011.194,273.0,11.726,16.849,1.094,4.336,250.0,1.523,17.637,NaN,16.851,NaN,85.742,33.398,244.688,6.445,0
M6,62095,-15.88135,53.07482,2021-09-10T13:00:00Z,1015.82,334.0,5.692,7.855,2.188,6.563,31.0,3.438,15.146,NaN,16.43,35.3334,63.867,23.906,32.344,8.555,0
